Designator,Mid X,Mid Y,Rotation,Layer
C1_2,96.2,-64.6,0.0,bottom
C1,96.2,-110.6,0.0,bottom
C2_2,96.2,-112.1,0.0,bottom
C2,96.2,-66.1,0.0,bottom
J1_2,103.3,-113.0,270.0,bottom
J1,103.3,-67.0,270.0,bottom
J2_2,93.0,-100.0,90.0,bottom
J2,93.0,-54.0,90.0,bottom
Q2_2,98.2,-61.0,270.0,bottom
Q2,98.2,-107.0,270.0,bottom
R1_2,95.7,-107.0,270.0,bottom
R1,95.7,-61.0,270.0,bottom
R2_2,100.7,-61.0,90.0,bottom
R2,100.7,-107.0,90.0,bottom
R3_2,91.2,-70.4,180.0,bottom
R3,91.2,-116.4,180.0,bottom
R4_2,91.2,-112.1,0.0,bottom
R4,91.2,-66.1,0.0,bottom
SW2_2,118.0,-67.25,90.0,top
SW2,118.0,-113.25,90.0,top
U1_2,91.2,-63.6,180.0,bottom
U1,91.2,-109.6,180.0,bottom
