Designator,Footprint,Quantity,Value,LCSC Part #
"C1_8, C1_7, C1_6, C1_5, C1_4, C1_3, C1_2, C1",0603,8,10u,
"C10_8, C10_7, C10_6, C10_5, C10_4, C10_3, C10_2, C10, C9_8, C9_7, C9_6, C9_5, C9_4, C9_3, C9_2, C9",0402,16,14p,
"C2_8, C2_7, C2_6, C2_5, C2_4, C2_3, C2_2, C2, C3_8, C3_7, C3_6, C3_5, C3_4, C3_3, C3_2, C3, C4_8, C4_7, C4_6, C4_5, C4_4, C4_3, C4_2, C4, C5_8, C5_7, C5_6, C5_5, C5_4, C5_3, C5_2, C5, C6_8, C6_7, C6_6, C6_5, C6_4, C6_3, C6_2, C6",0402,40,100n,
"C7_8, C7_7, C7_6, C7_5, C7_4, C7_3, C7_2, C7, C8_8, C8_7, C8_6, C8_5, C8_4, C8_3, C8_2, C8",0402,16,3p,
"J1_8, J1_7, J1_6, J1_5, J1_4, J1_3, J1_2, J1",U.FL_Molex_MCRF_73412-0110_Vertical,8,Conn_01x01_Shielded,
"J2_8, J2_7, J2_6, J2_5, J2_4, J2_3, J2_2, J2",PinHeader_2x04_P2.54mm_Vertical,8,Conn_02x04,
"L1_8, L1_7, L1_6, L1_5, L1_4, L1_3, L1_2, L1",0402,8,2n,
"R1_8, R1_7, R1_6, R1_5, R1_4, R1_3, R1_2, R1",0402,8,10k,
"TP1_8, TP1_7, TP1_6, TP1_5, TP1_4, TP1_3, TP1_2, TP1, TP2_8, TP2_7, TP2_6, TP2_5, TP2_4, TP2_3, TP2_2, TP2",TestPoint_Pad_D1.0mm,16,TestPoint,
"U1_8, U1_7, U1_6, U1_5, U1_4, U1_3, U1_2, U1",QFN-24-1EP_4x4mm_P0.5mm_EP2.8x2.8mm,8,ESP8684,
"Y1_8, Y1_7, Y1_6, Y1_5, Y1_4, Y1_3, Y1_2, Y1",Crystal_SMD_SeikoEpson_FA128-4Pin_2.0x1.6mm,8,Q22FA12800230,
